Year,mean,median,sum,std,min,max
2011,1560.2142857142858,134.0,720819,4638.71550535979,0,44449
2012,1412.426406926407,121.0,652541,3940.7040368254166,0,36761
2013,1315.1580086580086,136.0,607603,3706.191480123974,0,35762
2014,1208.4761904761904,120.5,558316,3447.8916577206733,0,33469
2015,1051.1883116883116,102.0,485649,3033.9784146992415,0,31439
2016,908.0495867768595,74.0,439496,2611.341249976734,0,28526
2017,870.2034632034632,84.5,402034,2318.112098788071,0,23472
2018,872.1754756871036,72.0,412539,2378.2408425472818,0,23670
2019,859.4841437632135,64.0,406536,2499.5098189492023,0,26568
2020,591.9173553719008,44.5,286488,1759.5295782796666,0,18334
2021,779.7355371900826,53.5,377392,2444.7392558908,0,25785
2022,775.8367768595041,52.5,375505,2413.7534957212088,0,25620
2023,823.5123966942149,54.0,398580,2627.1664883691665,0,32443
